4.29,4,10167,0
4.26,1,9000,0
4.24,3,10000,0
4.24,7,9432,0
4.23,5,11330,0
4.22,1,10000,0
4.21,5,8600,0
4.21,1,10800,0
4.2,4,11000,0
1.28,1,9500,0
4.1,5,8000,0
1.28,1,9000,0
1.26,3,8500,0
4.13,4,9000,0
1.22,6,8700,0
1.22,3,10100,0
1.21,6,9200,0
1.21,8,7900,0
1.2,4,9200,0
4.12,1,8000,0
1.2,6,8500,0
1.2,6,8730,0
1.5,7,8900,0
2.2,1,9500,0
2.3,2,9000,0
2.4,3,9800,0
2.5,4,9100,0
2.6,5,8700,0
2.9,6,8600,0
2.1,7,8500,0
3.1,1,6999,0
3.2,2,7890,0
3.3,3,8790,0
3.21,4,9087,0
3.26,5,8890,0
11.21,4,9000,0
11.31,5,8234,0
11.24,6,8543,0
11.14,7,9543,0
12.12,1,9876,0
12.13,2,9654,0
12.14,3,9432,0
12.18,4,8976,0
12.2,5,8543,0
12.3,6,8542,0
12.2,7,8000,0
12.31,1,10032,0
12.01,4,7500,0
12.2,5,8000,0
12.16,6,7800,0
1.21,2,10200,1
1.21,2,9000,1
1.21,8,6700,1
1.21,2,9500,1
1.21,6,11000,1
1.19,4,7600,1
1.19,3,8600,1
1.19,1,6900,1
1.19,4,8700,1
1.19,2,10400,1
1.19,4,8200,1
1.18,8,10900,1
1.18,2,7000,1
1.18,2,10000,1
1.18,2,11400,1
1.18,2,9500,1
1.18,1,9600,1
1.18,2,9000,1
1.18,8,8800,1
1.18,4,8700,1
1.18,1,10200,1
1.18,3,8400,1
1.18,2,9900,1
1.18,3,8400,1
1.18,4,10200,1
1.18,4,9200,1
1.18,4,8000,1
1.17,2,8500,1
1.17,2,9600,1
1.17,7,8000,1
1.17,6,10900,1
1.16,8,8700,1
1.16,8,6300,1
1.16,1,11000,1
1.16,1,10300,1
1.13,1,9500,1
1.13,3,10100,1
1.13,3,10300,1
1.12,2,10200,1
1.12,3,10200,1
1.12,4,9500,1
1.12,2,10300,1
1.11,2,8400,1
1.11,4,10200,1
1.1,2,8800,1
1.1,4,9400,1
1.9,7,5500,1
1.9,8,8800,1
1.9,1,9100,1
1.9,3,8800,1
1.8,7,5600,1
1.8,4,9700,1
1.8,3,9000,1
1.8,3,8900,1
1.8,8,9700,1
1.8,3,9900,1
1.8,1,7000,1
1.8,2,9700,1
1.8,2,9800,1
1.8,3,10000,1
1.8,2,9800,1
1.7,2,8400,1
1.7,3,8600,1
1.7,8,8200,1
1.7,4,8000,1
1.7,3,10200,1
1.7,3,10000,1
1.7,1,9700,1
1.7,1,10000,1
1.7,2,10000,1
1.7,2,8300,1
1.7,2,10300,1
1.6,2,6200,1
1.5,1,10400,1
1.5,2,9000,1
1.5,2,9800,1
1.5,3,9800,1
1.5,1,9700,1
1.4,1,5700,1
1.4,5,9800,1
1.4,5,9000,1
1.3,7,9600,1
1.3,2,10100,1
1.3,6,8000,1
1.1,5,8600,1
12.31,6,10300,1
12.31,2,10800,1
12.31,8,8700,1
12.3,3,10400,1
12.29,7,10200,1
12.29,7,10200,1
12.29,6,9800,1
12.29,3,10500,1
12.28,2,10500,1
12.28,1,8800,1
12.27,3,9400,1
12.26,4,10500,1
12.25,3,9900,1
12.25,1,11700,1
12.25,1,11700,1
12.24,7,9800,1
12.22,2,10200,1
12.22,3,10300,1
12.22,1,10400,1
12.22,3,10000,1
12.22,2,9500,1
12.22,4,10200,1
12.22,2,9900,1
12.19,2,10900,1
11.25,1,9000,1
11.25,2,10000,1
11.24,2,10200,1
11.24,1,10100,1
11.24,2,10700,1
11.24,2,9900,1
11.23,2,10000,1
11.5,2,11000,1
10.1,3,10800,1
5.2,2,9300,1
5.15,3,9300,1
5.14,1,9000,1
4.3,7,10000,1
4.28,3,9900,1
4.28,3,9800,1
4.28,3,10100,1
4.26,3,9000,1
4.18,4,9800,1
4.14,6,9100,1
4.13,2,10200,1
4.12,8,9600,1
4.9,5,9500,1
4.9,3,9800,1
4.9,4,9700,1
4.8,6,8800,1
4.8,4,9500,1
4.8,2,9500,1
4.7,1,10500,1
4.7,1,9500,1
4.2,1,10000,1
4.2,2,8700,1
4.1,2,8500,1
3.28,1,9200,1
3.24,3,10300,1
3.24,2,8800,1
3.24,2,8500,1
3.23,2,10400,1
3.23,1,10000,1
3.23,4,8300,1
3.23,8,9000,1
3.22,2,11500,1
3.22,1,7400,1
3.22,7,10000,1
3.19,2,11200,1
3.18,2,9200,1
3.17,1,10200,1
3.16,1,10000,1
3.15,2,10100,1
3.11,7,7400,1
3.11,2,9600,1
3.11,2,8200,1
3.11,3,9500,1
3.9,2,9900,1
3.8,3,9200,1
3.8,2,11300,1
3.8,3,9700,1
3.7,3,10600,1
3.7,2,10300,1
3.7,1,8400,1
3.6,2,9800,1
3.5,2,10800,1
3.5,2,10300,1
3.5,2,10300,1
3.5,2,9500,1
3.5,1,10000,1
3.5,2,10300,1
3.4,2,9800,1
3.2,2,8700,1
2.28,1,8500,1
2.28,2,8500,1
2.28,1,8000,1
2.28,2,8300,1
2.28,3,9400,1
2.27,1,8600,1
2.27,2,9200,1
2.26,3,8100,1
2.26,1,9900,1
2.26,2,10200,1
2.26,3,10100,1
2.26,8,9600,1
2.26,2,9900,1
2.26,3,11800,1
2.24,2,9800,1
2.24,3,9700,1
2.24,1,10500,1
2.23,2,10400,1
2.22,2,11300,1
2.21,3,10900,1
2.21,8,11100,1
2.2,2,10600,1
2.19,8,9000,1
2.19,2,10100,1
2.16,2,9800,1
2.15,5,9800,1
2.15,2,8700,1
2.15,3,11500,1
2.15,2,11300,1
2.15,8,11400,1
2.1,2,10400,1
1.31,2,8800,1
1.3,3,9200,1
1.28,3,9500,1
1.27,2,9600,1
1.26,3,9700,1
1.25,1,10200,1
1.25,1,9900,1
1.25,8,9700,1
